ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
215088_s_at,2.81e-08,3.72e-09,6.418473,10.131273,0.4383347,SDHC,succinate dehydrogenase complex subunit C
215044_s_at,2.81e-08,3.73e-09,6.417953,10.1288425,0.3331357,STAM2,signal transducing adaptor molecule 2
203095_at,2.82e-08,3.74e-09,6.417328,10.1259242,0.5200531,MTIF2,mitochondrial translational initiation factor 2
202191_s_at,2.83e-08,3.75e-09,-6.416921,10.1240191,-0.456941,GAS7,growth arrest specific 7
201584_s_at,2.87e-08,3.81e-09,6.413629,10.1086466,0.6059218,DDX39A,DEAD-box helicase 39A
215440_s_at,2.87e-08,3.81e-09,-6.413477,10.1079351,-0.8138211,BEX4,brain expressed X-linked 4
209891_at,2.89e-08,3.83e-09,6.41243,10.103047,0.3468383,SPC25,"SPC25, NDC80 kinetochore complex component"
201803_at,2.93e-08,3.9e-09,6.40882,10.0861898,0.4030825,POLR2B,RNA polymerase II subunit B
210473_s_at,2.94e-08,3.91e-09,6.408358,10.0840336,0.5430273,ADGRA3,adhesion G protein-coupled receptor A3
201113_at,2.94e-08,3.91e-09,6.407905,10.0819221,0.4377071,TUFM,"Tu translation elongation factor, mitochondrial"
205217_at,2.95e-08,3.93e-09,6.407299,10.0790915,0.279841,TIMM8A,translocase of inner mitochondrial membrane 8 homolog A (yeast)
203616_at,2.96e-08,3.94e-09,6.406549,10.0755913,0.450648,POLB,DNA polymerase beta
211641_x_at,2.97e-08,3.96e-09,6.405591,10.0711205,0.992708,IGHV4-31,immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
212240_s_at,2.98e-08,3.96e-09,-6.40544,10.0704126,-0.8447137,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
219369_s_at,2.98e-08,3.96e-09,6.405303,10.0697758,0.3305683,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2"
213045_at,2.98e-08,3.97e-09,-6.404736,10.0671284,-0.3002681,MAST3,microtubule associated serine/threonine kinase 3
215512_at,2.99e-08,3.99e-09,6.404006,10.063724,0.442346,MARCH6,membrane associated ring-CH-type finger 6
213164_at,3e-08,4e-09,6.403101,10.0594966,0.689157,SLC5A3,solute carrier family 5 member 3
202385_s_at,3.03e-08,4.04e-09,6.401108,10.0502011,0.2625332,TCOF1,treacle ribosome biogenesis factor 1
203728_at,3.06e-08,4.07e-09,6.399452,10.042471,0.2977139,BAK1,BCL2 antagonist/killer 1
222018_at,3.06e-08,4.08e-09,6.39894,10.0400842,0.4642587,NACA,nascent polypeptide-associated complex alpha subunit
202391_at,3.1e-08,4.13e-09,6.396571,10.0290334,0.9628275,BASP1,brain abundant membrane attached signal protein 1
201613_s_at,3.1e-08,4.13e-09,6.396483,10.0286243,0.430721,AP1G2,adaptor related protein complex 1 gamma 2 subunit
201145_at,3.1e-08,4.14e-09,6.396149,10.0270662,0.3471994,HAX1,HCLS1 associated protein X-1
217430_x_at,3.1e-08,4.14e-09,6.39597,10.0262322,0.8643263,COL1A1,collagen type I alpha 1 chain
200087_s_at,3.13e-08,4.18e-09,6.393879,10.0164764,0.4412191,TMED2,transmembrane p24 trafficking protein 2
214720_x_at,3.13e-08,4.19e-09,-6.393705,10.0156674,-0.7328876,SEPT10,septin 10
218779_x_at,3.13e-08,4.19e-09,6.39365,10.0154093,0.3667285,EPS8L1,EPS8 like 1
211639_x_at,3.13e-08,4.19e-09,6.393476,10.0145983,0.9181048,IGHV4-31,immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
203560_at,3.15e-08,4.22e-09,6.392273,10.0089866,0.9572683,GGH,gamma-glutamyl hydrolase
216560_x_at,3.16e-08,4.23e-09,6.391432,10.0050677,1.2575057,IGLC1,immunoglobulin lambda constant 1
221882_s_at,3.17e-08,4.25e-09,6.390553,10.0009699,0.5133268,TMEM8A,transmembrane protein 8A
